band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,species_scientific_name
B97995232029,B97995232029,,B,8/15/2016,15,8,2016,CA,CA-MB,50.5,-98.5,60,41,Mallard,1320,3,0,1,4,P1831861,0,,,,,,B,Anas platyrhynchos
B97995232029,B97995232029,,E,9/30/2017,30,9,2017,US,US-WI,45.7477,-89.6097,0,41,Mallard,1320,,,,,,,1,21,7,5,2.25,E,Anas platyrhynchos
B97995234339,B97995234339,,B,8/10/2016,10,8,2016,CA,CA-MB,50.5,-98.5,60,41,Mallard,1320,3,0,1,4,P1831861,0,,,,,,B,Anas platyrhynchos
B97995234339,B97995234339,,E,11/13/2016,13,11,2016,US,US-WI,44.64573,-87.46785,0,41,Mallard,1320,,,,,,,1,21,7,5,1.42,E,Anas platyrhynchos
B97995244339,B97995244339,,B,8/20/2017,20,8,2017,CA,CA-MB,50.5,-98.5,60,41,Mallard,1320,3,0,1,4,P1831861,0,,,,,,B,Anas platyrhynchos
B97995244339,B97995244339,,E,94/99/2017,99,94,2017,US,US-WI,44.51916,-88.01983,11,41,Mallard,1320,,,,,,,1,21,7,3,1.25,E,Anas platyrhynchos
B97995244909,B97995244909,,B,8/22/2017,22,8,2017,CA,CA-MB,50.5,-98.5,60,41,Mallard,1320,3,0,2,4,P1831861,0,,,,,,B,Anas platyrhynchos
B97995244909,B97995244909,,E,10/25/2018,25,10,2018,US,US-WI,44.23052,-91.87037,11,41,Mallard,1320,,,,,,,1,21,7,4,1.33,E,Anas platyrhynchos
B97995247547,B97995247547,,B,8/31/2018,31,8,2018,CA,CA-MB,51.5,-99.5,60,41,Mallard,1320,3,0,4,4,P1831861,0,,,,,,B,Anas platyrhynchos
B97995247547,B97995247547,,E,10/18/2018,18,10,2018,US,US-WI,44.78296,-87.449,11,41,Mallard,1320,,,,,,,1,21,7,5,0.33,E,Anas platyrhynchos
B97995365463,B97995365463,,B,8/28/2015,28,8,2015,CA,CA-NT,65.5,-125.5,60,41,Mallard,1320,3,0,1,4,P3839688,0,,,,,,B,Anas platyrhynchos
B97995365463,B97995365463,,E,10/21/2018,21,10,2018,US,US-WI,45.71175,-91.93675,0,41,Mallard,1320,,,,,,,1,21,7,4,4.33,E,Anas platyrhynchos
B97995390509,B97995390509,,B,8/26/2014,26,8,2014,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,0,1,4,P8988788,0,,,,,,B,Anas platyrhynchos
B97995390509,B97995390509,,E,8/6/2015,6,8,2015,US,US-WI,43.57444,-88.62722,0,41,Mallard,1320,3,0,1,4,P8988788,,66,23,14,7,2.17,R,Anas platyrhynchos
B97995390585,B97995390585,,B,8/26/2014,26,8,2014,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,0,1,4,P8988788,0,,,,,,B,Anas platyrhynchos
B97995390585,B97995390585,,E,12/2/2015,2,12,2015,US,US-WI,42.95359,-89.46984,11,41,Mallard,1320,,,,,,,1,21,7,5,2.5,E,Anas platyrhynchos
B97995390610,B97995390610,,B,8/20/2015,20,8,2015,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,0,1,4,P8988788,0,,,,,,B,Anas platyrhynchos
B97995390610,B97995390610,,E,10/8/2017,8,10,2017,US,US-WI,44.68747,-89.81846,11,41,Mallard,1320,,,,,,,1,21,7,5,3.33,E,Anas platyrhynchos
B97995390697,B97995390697,,B,8/20/2015,20,8,2015,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,0,1,4,P8988788,0,,,,,,B,Anas platyrhynchos
B97995390697,B97995390697,,E,10/1/2017,1,10,2017,US,US-WI,43.17944,-89.35512,11,41,Mallard,1320,,,,,,,1,21,7,5,3.33,E,Anas platyrhynchos
