"isoscape","species","CVsubset","odds","CVrep","accuracy","precision","n.accurate","n.innaccurate"
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.629310344827586,0.294052966393743,73,43
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.689655172413793,0.254240528413494,80,36
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.629310344827586,0.296170792980488,73,43
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.646551724137931,0.27091704976377,75,41
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.637931034482759,0.288396162151525,74,42
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.586206896551724,0.262255236900937,68,48
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.681034482758621,0.3047446654454,79,37
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.724137931034483,0.322932622843395,84,32
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.655172413793103,0.304574441416585,76,40
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.681034482758621,0.289978531080511,79,37
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.741379310344828,0.267901955722996,86,30
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.663793103448276,0.305456748210452,77,39
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.655172413793103,0.265502965485683,76,40
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.655172413793103,0.332314557034949,76,40
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.603448275862069,0.286954114236121,70,46
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.698275862068966,0.378142424874303,81,35
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.603448275862069,0.293828439675434,70,46
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.560344827586207,0.401284949662888,65,51
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.629310344827586,0.274044223323945,73,43
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.706896551724138,0.3648242968356,82,34
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.577586206896552,0.311687356103934,67,49
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.603448275862069,0.311777018957491,70,46
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.689655172413793,0.332729712405097,80,36
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.612068965517241,0.249076090036956,71,45
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.612068965517241,0.343920074814626,71,45
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.586206896551724,0.308120639103746,68,48
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.663793103448276,0.421767377415019,77,39
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.663793103448276,0.374916159289068,77,39
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.689655172413793,0.368853108103019,80,36
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.646551724137931,0.295295768188169,75,41
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.689655172413793,0.421099883156005,80,36
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.53448275862069,0.297557693811978,62,54
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.706896551724138,0.376651102076813,82,34
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.672413793103448,0.298180170929936,78,38
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.603448275862069,0.363700316880559,70,46
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.586206896551724,0.339876406404944,68,48
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.568965517241379,0.304790002094114,66,50
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.603448275862069,0.394626647072077,70,46
"d2h_MA","mall/wodu",0.5,0.666666666666667,25,0.568965517241379,0.309920321888901,66,50
"d2h_GS","rndu",0.5,0.666666666666667,25,0.642857142857143,0.205069368125938,18,10
"d2h_GS","rndu",0.5,0.666666666666667,25,0.714285714285714,0.30467180267087,20,8
"d2h_GS","rndu",0.5,0.666666666666667,25,0.642857142857143,0.367841632469809,18,10
"d2h_GS","rndu",0.5,0.666666666666667,25,0.678571428571429,0.242008296052899,19,9
"d2h_GS","rndu",0.5,0.666666666666667,25,0.714285714285714,0.249208446038037,20,8
"d2h_GS","rndu",0.5,0.666666666666667,25,0.821428571428571,0.251844903527241,23,5
"d2h_GS","rndu",0.5,0.666666666666667,25,0.75,0.228366864138874,21,7
"d2h_GS","rndu",0.5,0.666666666666667,25,0.75,0.452410092174254,21,7
"d2h_GS","rndu",0.5,0.666666666666667,25,0.678571428571429,0.409162013550466,19,9
"d2h_GS","rndu",0.5,0.666666666666667,25,0.892857142857143,0.342791894388755,25,3
"d2h_GS","rndu",0.5,0.666666666666667,25,0.571428571428571,0.337132915693798,16,12
"d2h_GS","rndu",0.5,0.666666666666667,25,0.785714285714286,0.254373435856069,22,6
"d2h_GS","rndu",0.5,0.666666666666667,25,0.642857142857143,0.514041525901422,18,10
"d2h_GS","rndu",0.5,0.666666666666667,25,0.714285714285714,0.348016088866194,20,8
"d2h_GS","rndu",0.5,0.666666666666667,25,0.785714285714286,0.20104268039228,22,6
"d2h_GS","rndu",0.5,0.666666666666667,25,0.535714285714286,0.420972572208099,15,13
"d2h_GS","rndu",0.5,0.666666666666667,25,0.607142857142857,0.214988769616169,17,11
"d2h_GS","rndu",0.5,0.666666666666667,25,0.5,0.24706412728015,14,14
"d2h_GS","rndu",0.5,0.666666666666667,25,0.75,0.633627845678122,21,7
"d2h_GS","rndu",0.5,0.666666666666667,25,0.714285714285714,0.208505088517133,20,8
"d2h_GS","rndu",0.5,0.666666666666667,25,0.571428571428571,0.198458026980057,16,12
"d2h_GS","rndu",0.5,0.666666666666667,25,0.678571428571429,0.471694930724381,19,9
"d2h_GS","rndu",0.5,0.666666666666667,25,0.607142857142857,0.38099508848013,17,11
"d2h_GS","rndu",0.5,0.666666666666667,25,0.785714285714286,0.396302576512772,22,6
"d2h_GS","rndu",0.5,0.666666666666667,25,0.642857142857143,0.247008006196754,18,10
"d2h_MA","rndu",0.5,0.666666666666667,25,0.642857142857143,0.350347932516695,18,10
"d2h_MA","rndu",0.5,0.666666666666667,25,0.642857142857143,0.344690932334812,18,10
"d2h_MA","rndu",0.5,0.666666666666667,25,0.607142857142857,0.0947465590672805,17,11
"d2h_MA","rndu",0.5,0.666666666666667,25,0.571428571428571,0.461321801955291,16,12
"d2h_MA","rndu",0.5,0.666666666666667,25,0.5,0.347190365296059,14,14
"d2h_MA","rndu",0.5,0.666666666666667,25,0.535714285714286,0.329662328037997,15,13
"d2h_MA","rndu",0.5,0.666666666666667,25,0.75,0.350748014133345,21,7
"d2h_MA","rndu",0.5,0.666666666666667,25,0.678571428571429,0.157926216948257,19,9
"d2h_MA","rndu",0.5,0.666666666666667,25,0.607142857142857,0.144091394644507,17,11
"d2h_MA","rndu",0.5,0.666666666666667,25,0.75,0.292841739714902,21,7
"d2h_MA","rndu",0.5,0.666666666666667,25,0.714285714285714,0.199614567525621,20,8
"d2h_MA","rndu",0.5,0.666666666666667,25,0.75,0.173036222466306,21,7
"d2h_MA","rndu",0.5,0.666666666666667,25,0.571428571428571,0.154298707705603,16,12
"d2h_MA","rndu",0.5,0.666666666666667,25,0.714285714285714,0.184916646072722,20,8
"d2h_MA","rndu",0.5,0.666666666666667,25,0.785714285714286,0.183864123665843,22,6
"d2h_MA","rndu",0.5,0.666666666666667,25,0.75,0.252644000914648,21,7
"d2h_MA","rndu",0.5,0.666666666666667,25,0.5,0.244816404084895,14,14
"d2h_MA","rndu",0.5,0.666666666666667,25,0.642857142857143,0.152276141255893,18,10
"d2h_MA","rndu",0.5,0.666666666666667,25,0.571428571428571,0.277092065242848,16,12
"d2h_MA","rndu",0.5,0.666666666666667,25,0.75,0.176604796609278,21,7
"d2h_MA","rndu",0.5,0.666666666666667,25,0.607142857142857,0.131485592291597,17,11
"d2h_MA","rndu",0.5,0.666666666666667,25,0.678571428571429,0.133543088943991,19,9
"d2h_MA","rndu",0.5,0.666666666666667,25,0.571428571428571,0.567162008742091,16,12
"d2h_MA","rndu",0.5,0.666666666666667,25,0.607142857142857,0.408541496311401,17,11
"d2h_MA","rndu",0.5,0.666666666666667,25,0.607142857142857,0.230376843029824,17,11
