id,species,new_sample,latitude,longitude,gs_correct,ma_correct,correct
2167-38451,mall,1,47.416666667,-94.916666667,1,1,Correct by both eq.
2167-38453,mall,1,47.416666667,-94.916666667,1,1,Correct by both eq.
2167-38458,mall,1,47.525,-94.858333333,1,1,Correct by both eq.
2167-38459,mall,1,47.525,-94.858333333,1,1,Correct by both eq.
2167-38470,mall,1,47.583333333,-94.083333333,1,1,Correct by both eq.
2167-38497,mall,1,47.916666667,-94.416666667,1,1,Correct by both eq.
2167-38498,mall,1,47.916666667,-94.416666667,1,1,Correct by both eq.
2167-38727,mall,1,47.75,-94.75,1,1,Correct by both eq.
2167-38728,mall,1,47.75,-95.583333333,0,0,Neither eq. correct
2167-38732,mall,1,47.583333333,-95.083333333,1,1,Correct by both eq.
2167-38733,mall,1,47.583333333,-95.083333333,0,0,Neither eq. correct
2167-38734,mall,1,47.583333333,-95.083333333,0,0,Neither eq. correct
2167-38735,mall,1,47.583333333,-95.083333333,0,0,Neither eq. correct
2167-38738,mall,1,47.6575,-94.868333333,0,0,Neither eq. correct
2167-38739,mall,1,47.6575,-94.868333333,0,0,Neither eq. correct
2167-38741,mall,1,47.475,-94.875,1,1,Correct by both eq.
2167-38745,mall,1,47.475,-94.875,1,1,Correct by both eq.
2167-38759,mall,1,47.475,-94.875,1,1,Correct by both eq.
2167-38773,mall,1,47.475,-94.875,1,1,Correct by both eq.
2167-38775,mall,1,47.475,-94.875,1,1,Correct by both eq.
2167-38776,mall,1,47.416666667,-94.583333333,1,0,GS only correct
2167-38777,mall,1,47.416666667,-94.583333333,1,1,Correct by both eq.
2167-38786,mall,1,47.416666667,-94.583333333,1,1,Correct by both eq.
2167-38790,mall,1,47.416666667,-94.583333333,1,1,Correct by both eq.
2227-20004,mall,1,47.618611111,-94.163611111,0,0,Neither eq. correct
2227-20005,mall,1,47.618611111,-94.163611111,1,1,Correct by both eq.
2227-20007,mall,1,47.75,-96.083333333,1,1,Correct by both eq.
2227-20009,mall,1,47.75,-96.083333333,1,1,Correct by both eq.
2227-20014,mall,1,47.583333333,-94.25,1,1,Correct by both eq.
2227-20019,mall,1,47.583333333,-94.25,0,0,Neither eq. correct
2227-20034,mall,1,47.75,-94.258055556,1,1,Correct by both eq.
2227-20036,mall,1,47.75,-94.258055556,1,1,Correct by both eq.
2227-20037,mall,1,47.583333333,-94.916666667,1,1,Correct by both eq.
2227-20038,mall,1,47.583333333,-94.916666667,1,1,Correct by both eq.
2227-20039,mall,1,47.583333333,-94.916666667,1,1,Correct by both eq.
2227-20040,mall,1,47.583333333,-94.916666667,1,1,Correct by both eq.
2227-20041,mall,1,47.675,-95.525,1,1,Correct by both eq.
2227-20042,mall,1,47.675,-95.525,1,1,Correct by both eq.
2227-20044,mall,1,47.583333333,-94.583333333,1,1,Correct by both eq.
2227-20045,mall,1,47.583333333,-94.583333333,1,1,Correct by both eq.
2227-20050,mall,1,48.916666667,-96.25,0,0,Neither eq. correct
2227-20063,mall,1,48.953611111,-96.062777778,1,1,Correct by both eq.
2227-20064,mall,1,48.953611111,-96.062777778,1,1,Correct by both eq.
B900101,mall,1,45.038422853782976,-92.88376819064673,1,1,Correct by both eq.
B900102,mall,1,45.038422853782976,-92.88376819064673,1,1,Correct by both eq.
B900103,mall,1,45.038422853782976,-92.88376819064673,0,1,MA only correct
B900104,mall,1,45.038422853782976,-92.88376819064673,1,1,Correct by both eq.
B900105,mall,1,45.038422853782976,-92.88376819064673,1,0,GS only correct
B900106,mall,1,45.038422853782976,-92.88376819064673,1,1,Correct by both eq.
B900107,mall,1,45.038422853782976,-92.88376819064673,1,0,GS only correct
LW20009,wodu,0,44.705764,-89.906362,1,1,Correct by both eq.
LW20006,wodu,0,44.705764,-89.906362,0,0,Neither eq. correct
LW20008,wodu,0,44.705764,-89.906362,1,1,Correct by both eq.
LW20003,wodu,0,44.705764,-89.906362,1,1,Correct by both eq.
LW20007,wodu,0,44.705764,-89.906362,1,1,Correct by both eq.
